model_name,kv_cache_type,context_length_target,base_vram_mb,peak_vram_mb,dynamic_vram_mb,ttft_ms,itl_ms,throughput_tokens_per_s,perplexity,exact_match,f1_score,kv_cache_compression_ratio,gpu_memory_efficiency_index
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17985.27,3393.5,265.3,12.55,68.09,3.8253,1.0,1.0,100.0%,0.02006
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17984.29,3392.53,229.19,12.99,58.28,3.499,1.0,1.0,100.0%,0.01718
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17985.91,3394.15,270.41,13.22,60.25,3.2361,1.0,1.0,100.0%,0.01775
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17954.44,3362.67,274.34,14.36,53.62,3.3497,1.0,1.0,100.0%,0.01595
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17964.9,3373.13,267.11,14.39,60.43,3.2537,1.0,1.0,100.0%,0.01792
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18021.28,3429.51,199.88,12.46,65.65,3.3056,1.0,1.0,100.0%,0.01914
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17912.4,3320.63,235.1,14.56,58.72,3.7627,1.0,1.0,100.0%,0.01768
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18028.34,3436.58,246.29,16.88,51.5,3.6918,1.0,1.0,100.0%,0.01499
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18051.16,3459.39,253.91,17.96,50.14,3.9874,1.0,1.0,100.0%,0.01449
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18030.23,3438.46,257.59,16.01,54.81,3.226,0.0,0.0,100.0%,0.01594
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17894.54,3302.77,272.26,17.26,48.77,3.4982,1.0,1.0,100.0%,0.01477
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18021.32,3429.56,256.76,14.41,60.31,3.4051,1.0,1.0,100.0%,0.01758
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18050.74,3458.98,195.99,14.91,59.22,3.6487,1.0,1.0,100.0%,0.01712
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18021.3,3429.53,215.06,14.06,54.72,3.9225,1.0,1.0,100.0%,0.01596
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18059.28,3467.51,208.04,13.0,63.1,3.5345,1.0,1.0,100.0%,0.0182
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18001.99,3410.22,185.0,13.03,62.97,3.1736,1.0,1.0,100.0%,0.01847
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18024.07,3432.31,225.82,12.64,64.23,3.4318,1.0,1.0,100.0%,0.01871
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17935.27,3343.51,254.71,12.65,68.23,3.6173,1.0,1.0,100.0%,0.02041
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17983.72,3391.95,196.56,17.88,49.9,3.9656,1.0,1.0,100.0%,0.01471
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17935.45,3343.68,203.83,13.87,64.4,3.3464,1.0,1.0,100.0%,0.01926
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17924.58,3332.81,185.24,13.69,61.89,3.1715,1.0,1.0,100.0%,0.01857
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18075.01,3483.25,226.39,13.14,66.48,3.0777,1.0,1.0,100.0%,0.01909
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17995.13,3403.36,255.44,15.03,55.24,3.8126,1.0,1.0,100.0%,0.01623
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17942.21,3350.44,222.13,16.1,54.96,3.7374,1.0,1.0,100.0%,0.0164
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17946.96,3355.2,235.5,12.31,69.4,3.4485,1.0,1.0,100.0%,0.02068
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17992.15,3400.39,273.69,14.02,57.89,3.3535,1.0,1.0,100.0%,0.01702
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18016.88,3425.11,243.26,15.67,54.52,3.5975,1.0,1.0,100.0%,0.01592
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18019.93,3428.17,215.83,13.07,67.33,3.0946,1.0,1.0,100.0%,0.01964
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17941.7,3349.93,238.08,16.14,53.41,3.567,0.0,0.0,100.0%,0.01594
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17947.92,3356.16,200.34,15.41,57.22,3.0799,1.0,1.0,100.0%,0.01705
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17958.8,3367.03,190.87,14.36,59.93,3.1659,0.0,0.0,100.0%,0.0178
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18080.05,3488.28,206.14,16.25,55.65,3.2083,1.0,1.0,100.0%,0.01595
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17958.52,3366.76,184.03,13.83,63.33,3.0352,1.0,1.0,100.0%,0.01881
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18010.36,3418.59,227.06,16.67,50.86,3.154,1.0,1.0,100.0%,0.01488
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17972.85,3381.08,278.52,16.04,49.8,3.659,1.0,1.0,100.0%,0.01473
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17992.6,3400.83,211.81,15.39,58.3,3.0331,1.0,1.0,100.0%,0.01714
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18059.58,3467.82,258.85,15.37,54.19,3.3934,0.0,0.0,100.0%,0.01563
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18088.72,3496.96,227.29,17.26,48.17,3.0276,1.0,1.0,100.0%,0.01378
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18018.52,3426.75,229.66,13.26,63.15,3.8033,0.0,0.0,100.0%,0.01843
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18016.41,3424.64,255.91,13.69,63.61,3.1944,1.0,1.0,100.0%,0.01857
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17943.1,3351.33,217.91,12.91,64.98,3.5948,1.0,1.0,100.0%,0.01939
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17996.64,3404.87,209.47,16.81,49.41,3.1233,1.0,1.0,100.0%,0.01451
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18064.66,3472.89,227.36,16.19,52.55,3.3109,1.0,1.0,100.0%,0.01513
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18000.79,3409.03,222.91,14.69,58.17,3.3252,1.0,1.0,100.0%,0.01706
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17914.18,3322.41,209.26,16.48,48.4,3.1099,1.0,1.0,100.0%,0.01457
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17939.13,3347.36,195.88,14.55,61.06,3.53,1.0,1.0,100.0%,0.01824
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17979.81,3388.04,197.41,13.56,65.66,3.2286,1.0,1.0,100.0%,0.01938
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18059.79,3468.03,182.45,17.61,51.55,3.5745,0.0,0.0,100.0%,0.01487
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17906.36,3314.59,210.6,17.27,52.09,3.4169,1.0,1.0,100.0%,0.01572
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17955.06,3363.29,198.46,12.88,69.0,3.1221,1.0,1.0,100.0%,0.02051
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18058.31,3466.54,276.81,12.12,69.21,3.398,1.0,1.0,100.0%,0.01996
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18035.94,3444.18,273.8,16.03,53.58,3.8321,1.0,1.0,100.0%,0.01556
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17918.53,3326.76,269.16,12.33,68.69,3.859,1.0,1.0,100.0%,0.02065
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17945.83,3354.06,260.28,16.67,48.65,3.962,1.0,1.0,100.0%,0.01451
