model,kv_cache_type,context_length,peak_memory_mb,latency_ms_per_token,throughput_tokens_per_s,perplexity,status,sample_id,output_path,ppl_loss,ppl_tokens,ppl_status,ppl_error,repetition_flag,gibberish_flag,repeated_ngram_ratio,special_char_ratio,output_length,quality_warning
qwen3:8b-fp16,FP16,4000,70170.12,8.66,115.52,1.4549,OK,qwen3:8b-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.374953,2592,OK,,True,False,0.2801,0.0658,354.05,repetition
qwen3:8b-fp16,FP16,8000,70244.12,11.41,87.68,1.27,OK,qwen3:8b-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.23901,1536,OK,,True,False,0.4602,0.0358,431.0,repetition
qwen3:8b-fp16,FP16,16000,71322.12,18.85,53.06,1.272,OK,qwen3:8b-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.2406,1024,OK,,True,False,0.2971,0.0579,411.0,repetition
qwen3:8b-fp16,FP8,4000,70604.12,8.78,113.88,1.5196,OK,qwen3:8b-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.418445,1024,OK,,True,False,0.3243,0.0599,379.25,repetition
qwen3:8b-fp16,FP8,8000,70870.12,11.43,87.5,1.4136,OK,qwen3:8b-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.346121,1024,OK,,True,False,0.179,0.0407,437.5,repetition
qwen3:8b-fp16,FP8,16000,71756.12,18.8,53.19,1.2914,OK,qwen3:8b-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.255757,1024,OK,,True,False,0.3663,0.049,430.5,repetition
qwen3:8b-fp16,HQQ,4000,70528.12,15.2,65.78,1.5152,OK,qwen3:8b-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.41554,1024,OK,,True,False,0.1615,0.0654,369.0,repetition
qwen3:8b-fp16,HQQ,8000,71088.12,25.38,39.41,1.3622,OK,qwen3:8b-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.309099,1024,OK,,True,False,0.4776,0.0477,394.0,repetition
qwen3:8b-fp16,HQQ,16000,72452.12,61.85,16.17,1.3661,OK,qwen3:8b-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.311957,1024,OK,,True,False,0.2192,0.0389,460.0,repetition
qwen3:8b-fp16,PolarQuant,4000,70604.12,8.71,114.78,1.5196,OK,qwen3:8b-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.418445,512,OK,,True,False,0.3243,0.0599,379.25,repetition
